acd_name,correct_openalex_id,note
Dr Vanathy  Varathan,A5038845308,"Smart re-resolution. works=3, h=2, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Russell Hills,A5004986152,"Smart re-resolution. works=2, h=2, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Raymond Alexander Cocciolone,A5034870896,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Angelica  Tjokrowidjaja,A5089133510,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr David William Jenkins,A5103545146,"Smart re-resolution. works=8, h=6, au_nz=False, derm=False, cross_verified=True, score=75"
Dr Philippa Ruth Dickison,A5023714138,"Smart re-resolution. works=1, h=0, au_nz=False, derm=False, cross_verified=False, score=75"
Dr Sally Elizabeth De Zwaan,A5053162408,"Smart re-resolution. works=2, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Harvey Ronald Smith,A5058201255,"Smart re-resolution. works=46, h=18, au_nz=True, derm=True, cross_verified=True, score=92"
Dr Sudipta  Daly,A5101648549,"Smart re-resolution. works=1, h=1, au_nz=True, derm=False, cross_verified=True, score=90"
Adj A/Prof Gregory Siller,A5041267982,"Smart re-resolution. works=8, h=8, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Desmond Chia Chin Gan,A5109906452,"Smart re-resolution. works=1, h=1, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Suresh  Chandra,A5009422460,"Smart re-resolution. works=533, h=45, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Matheen  Mohamed,A5018075216,"Smart re-resolution. works=8, h=3, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Andrew Lee,A5100450503,"Smart re-resolution. works=158, h=41, au_nz=True, derm=False, cross_verified=True, score=90"
Dr Sarvjit  Kumari,A5038651212,"Smart re-resolution. works=1, h=1, au_nz=False, derm=True, cross_verified=True, score=85"
Dr Nikki Rae Adler,A5007918003,"Smart re-resolution. works=69, h=15, au_nz=True, derm=True, cross_verified=True, score=100"
Dr Shally  Gupta,A5082255813,"Smart re-resolution. works=40, h=9, au_nz=True, derm=True, cross_verified=True, score=100"
